,Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
404,Man of Steel,2013,"Action,Adventure,Sci-Fi",143.0,PG-13,ZackSnyder,"HenryCavill,AmyAdams,MichaelShannon,DianeLane","An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",7.0,55.0,717126,291.05,DC
405,Shazam!,2019,"Action,Adventure,Comedy",132.0,PG-13,DavidF.Sandberg,"ZacharyLevi,MarkStrong,AsherAngel,JackDylanGrazer",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7.0,71.0,276708,140.37,DC
406,Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Sci-Fi",152.0,PG-13,ZackSnyder,"BenAffleck,HenryCavill,AmyAdams,JesseEisenberg","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",6.4,44.0,651600,330.36,DC
408,Batman Begins,2005,"Action,Adventure",140.0,PG-13,ChristopherNolan,"ChristianBale,MichaelCaine,KenWatanabe,LiamNeeson","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",8.2,70.0,1334536,206.85,DC
411,Batman,1989,"Action,Adventure",126.0,PG-13,TimBurton,"MichaelKeaton,JackNicholson,KimBasinger,RobertWuhl","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",7.5,69.0,343916,251.19,DC
415,Batman & Robin,1997,"Action,Sci-Fi",125.0,PG-13,JoelSchumacher,"ArnoldSchwarzenegger,GeorgeClooney,ChrisO'Donnell,UmaThurman",Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,3.8,28.0,237323,107.33,DC
416,Constantine,2005,"Action,Fantasy,Horror",121.0,R,FrancisLawrence,"KeanuReeves,RachelWeisz,DjimonHounsou,ShiaLaBeouf","Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",7.0,50.0,314439,75.98,DC
417,Batman Forever,1995,"Action,Adventure",121.0,PG-13,JoelSchumacher,"ValKilmer,TommyLeeJones,JimCarrey,NicoleKidman","Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4,51.0,237797,184.03,DC
418,Superman,1978,"Action,Adventure,Drama",143.0,PG,RichardDonner,"ChristopherReeve,MargotKidder,GeneHackman,MarlonBrando","An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.",7.3,80.0,161927,134.22,DC
419,Justice Society: World War II,2021,"Animation,Action,Adventure",84.0,PG-13,JeffWamester,"StanaKatic,MattBomer,OmidAbtahi,GeoffreyArend","The Justice Society of America, a group of heroes aiding the allies in World War 2, acquire an ally from the future who sends them on an adventure that changes history.",6.4,,3430,,DC
421,Green Lantern,2011,"Action,Adventure,Sci-Fi",114.0,PG-13,MartinCampbell,"RyanReynolds,BlakeLively,PeterSarsgaard,MarkStrong","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",5.5,39.0,270460,116.6,DC
423,Batman Returns,1992,"Action,Crime,Fantasy",126.0,PG-13,TimBurton,"MichaelKeaton,DannyDeVito,MichellePfeiffer,ChristopherWalken","While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",7.0,68.0,278873,162.83,DC
425,Supergirl,1984,"Action,Adventure,Fantasy",124.0,PG,JeannotSzwarc,"HelenSlater,FayeDunaway,PeterO'Toole,MiaFarrow","After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch.",4.4,42.0,19280,13.6,DC
426,The Iron Giant,1999,"Animation,Action,Adventure",86.0,PG,BradBird,"EliMarienthal,HarryConnickJr.,JenniferAniston,VinDiesel",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,8.0,85.0,175763,23.16,DC
